Country,Year,CO2_emission_Tons,CO2_emission_Megatons
ALL,1750,9350528,9.350528
ALL,1751,18701056,18.701056
ALL,1752,28055248,28.055248
ALL,1753,37409440,37.40944
ALL,1754,46767296,46.767296
ALL,1755,56128816,56.128816
ALL,1756,66135200,66.1352
ALL,1757,76145248,76.145248
ALL,1758,86158960,86.15896
ALL,1759,96176336,96.176336
ALL,1760,106193712,106.193712
ALL,1761,117167392,117.167392
ALL,1762,128144736,128.144736
ALL,1763,139125744,139.125744
ALL,1764,150110416,150.110416
ALL,1765,161098752,161.098752
ALL,1766,173358496,173.358496
ALL,1767,185621904,185.621904
ALL,1768,197888976,197.888976
ALL,1769,210159712,210.159712
ALL,1770,222434112,222.434112
ALL,1771,236045872,236.045872
ALL,1772,249661296,249.661296
ALL,1773,263280384,263.280384
ALL,1774,276903136,276.903136
ALL,1775,290529552,290.529552
ALL,1776,305566608,305.566608
ALL,1777,320607328,320.607328
ALL,1778,335651712,335.651712
ALL,1779,350699760,350.69976
ALL,1780,365755136,365.755136
ALL,1781,382598544,382.598544
ALL,1782,399445616,399.445616
ALL,1783,416300016,416.300016
ALL,1784,433158080,433.15808
ALL,1785,450027136,450.027136
ALL,1786,469178864,469.178864
ALL,1787,488337920,488.33792
ALL,1788,507500640,507.50064
ALL,1789,526670688,526.670688
ALL,1790,545848064,545.848064
ALL,1791,567267808,567.267808
ALL,1792,589163872,589.163872
ALL,1793,611078256,611.078256
ALL,1794,632959664,632.959664
ALL,1795,654852064,654.852064
ALL,1796,677803360,677.80336
ALL,1797,701897824,701.897824
ALL,1798,726992560,726.99256
ALL,1799,753420992,753.420992
ALL,1800,781512880,781.51288
ALL,1801,809472864,809.472864
ALL,1802,846255760,846.25576
ALL,1803,877744176,877.744176
ALL,1804,912053872,912.053872
ALL,1805,945473216,945.473216
ALL,1806,980519376,980.519376
ALL,1807,1017393872,1017.393872
ALL,1808,1052458352,1052.458352
ALL,1809,1087548480,1087.54848
ALL,1810,1124928608,1124.928608
ALL,1811,1164510800,1164.5108
ALL,1812,1205518288,1205.518288
ALL,1813,1246738288,1246.738288
ALL,1814,1288866960,1288.86696
ALL,1815,1332354976,1332.354976
ALL,1816,1380019952,1380.019952
ALL,1817,1429450976,1429.450976
ALL,1818,1479094512,1479.094512
ALL,1819,1529042160,1529.04216
ALL,1820,1579729936,1579.729936
ALL,1821,1631165168,1631.165168
ALL,1822,1684630256,1684.630256
ALL,1823,1741180432,1741.180432
ALL,1824,1799705504,1799.705504
ALL,1825,1860461952,1860.461952
ALL,1826,1921881584,1921.881584
ALL,1827,1987796944,1987.796944
ALL,1828,2054434112,2054.434112
ALL,1829,2120829456,2120.829456
ALL,1830,2209952591,2209.952591
ALL,1831,2294481071,2294.481071
ALL,1832,2379592127,2379.592127
ALL,1833,2466399614,2466.399614
ALL,1834,2554885214,2554.885214
ALL,1835,2645331054,2645.331054
ALL,1836,2750106798,2750.106798
ALL,1837,2854798270,2854.79827
ALL,1838,2962842302,2962.842302
ALL,1839,3074455070,3074.45507
ALL,1840,3193384846,3193.384846
ALL,1841,3316004270,3316.00427
ALL,1842,3445508350,3445.50835
ALL,1843,3578361326,3578.361326
ALL,1844,3719784398,3719.784398
ALL,1845,3874995102,3874.995102
ALL,1846,4032788926,4032.788926
ALL,1847,4205191118,4205.191118
ALL,1848,4379007614,4379.007614
ALL,1849,4562519054,4562.519054
ALL,1850,4759415086,4759.415086
ALL,1851,4958220062,4958.220062
ALL,1852,5165771006,5165.771006
ALL,1853,5382980254,5382.980254
ALL,1854,5638119230,5638.11923
ALL,1855,5898285213,5898.285213
ALL,1856,6175576733,6175.576733
ALL,1857,6455466029,6455.466029
ALL,1858,6739637879,6739.637879
ALL,1859,7040950438,7040.950438
ALL,1860,7371592628,7371.592628
ALL,1861,7719327869,7719.327869
ALL,1862,8073385328,8073.385328
ALL,1863,8451245268,8451.245268
ALL,1864,8858336377,8858.336377
ALL,1865,9290644165,9290.644165
ALL,1866,9736614765,9736.614765
ALL,1867,10214429678,10214.42968
ALL,1868,10705182172,10705.18217
ALL,1869,11226312891,11226.31289
ALL,1870,11758849642,11758.84964
ALL,1871,12324992601,12324.9926
ALL,1872,12951364393,12951.36439
ALL,1873,13616783434,13616.78343
ALL,1874,14239780680,14239.78068
ALL,1875,14915579832,14915.57983
ALL,1876,15601132550,15601.13255
ALL,1877,16300231077,16300.23108
ALL,1878,17004612805,17004.61281
ALL,1879,17759482314,17759.48231
ALL,1880,18613189503,18613.1895
ALL,1881,19495596978,19495.59698
ALL,1882,20427521690,20427.52169
ALL,1883,21418557373,21418.55737
ALL,1884,22420735120,22420.73512
ALL,1885,23430409691,23430.40969
ALL,1886,24455888574,24455.88857
ALL,1887,25532650252,25532.65025
ALL,1888,26724926321,26724.92632
ALL,1889,27916730754,27916.73075
ALL,1890,29215194336,29215.19434
ALL,1891,30574074027,30574.07403
ALL,1892,31944168561,31944.16856
ALL,1893,33297843598,33297.8436
ALL,1894,34698708195,34698.7082
ALL,1895,36183989533,36183.98953
ALL,1896,37717700533,37717.70053
ALL,1897,39324011173,39324.01117
ALL,1898,41018288340,41018.28834
ALL,1899,42869194307,42869.19431
ALL,1900,44821418961,44821.41896
ALL,1901,46838179889,46838.17989
ALL,1902,48905977502,48905.9775
ALL,1903,51162054752,51162.05475
ALL,1904,53443912287,53443.91229
ALL,1905,55873543653,55873.54365
ALL,1906,58425413169,58425.41317
ALL,1907,61310694412,61310.69441
ALL,1908,64087126004,64087.126
ALL,1909,66974209065,66974.20907
ALL,1910,70001797928,70001.79793
ALL,1911,73084260201,73084.2602
ALL,1912,76312592352,76312.59235
ALL,1913,79805003601,79805.0036
ALL,1914,82973344960,82973.34496
ALL,1915,86098433504,86098.4335
ALL,1916,89471587572,89471.58757
ALL,1917,92999313250,92999.31325
ALL,1918,96478498830,96478.49883
ALL,1919,99493373036,99493.37304
ALL,1920,1.03E+11,103000
ALL,1921,1.06E+11,106000
ALL,1922,1.09E+11,109000
ALL,1923,1.13E+11,113000
ALL,1924,1.17E+11,117000
ALL,1925,1.20E+11,120000
ALL,1926,1.24E+11,124000
ALL,1927,1.28E+11,128000
ALL,1928,1.32E+11,132000
ALL,1929,1.36E+11,136000
ALL,1930,1.40E+11,140000
ALL,1931,1.44E+11,144000
ALL,1932,1.47E+11,147000
ALL,1933,1.50E+11,150000
ALL,1934,1.54E+11,154000
ALL,1935,1.58E+11,158000
ALL,1936,1.62E+11,162000
ALL,1937,1.66E+11,166000
ALL,1938,1.70E+11,170000
ALL,1939,1.75E+11,175000
ALL,1940,1.80E+11,180000
ALL,1941,1.85E+11,185000
ALL,1942,1.90E+11,190000
ALL,1943,1.95E+11,195000
ALL,1944,2.00E+11,200000
ALL,1945,2.04E+11,204000
ALL,1946,2.09E+11,209000
ALL,1947,2.14E+11,214000
ALL,1948,2.19E+11,219000
ALL,1949,2.24E+11,224000
ALL,1950,2.30E+11,230000
ALL,1951,2.36E+11,236000
ALL,1952,2.43E+11,243000
ALL,1953,2.49E+11,249000
ALL,1954,2.56E+11,256000
ALL,1955,2.63E+11,263000
ALL,1956,2.71E+11,271000
ALL,1957,2.79E+11,279000
ALL,1958,2.87E+11,287000
ALL,1959,2.95E+11,295000
ALL,1960,3.05E+11,305000
ALL,1961,3.14E+11,314000
ALL,1962,3.23E+11,323000
ALL,1963,3.33E+11,333000
ALL,1964,3.43E+11,343000
ALL,1965,3.55E+11,355000
ALL,1966,3.66E+11,366000
ALL,1967,3.78E+11,378000
ALL,1968,3.91E+11,391000
ALL,1969,4.04E+11,404000
ALL,1970,4.18E+11,418000
ALL,1971,4.34E+11,434000
ALL,1972,4.49E+11,449000
ALL,1973,4.66E+11,466000
ALL,1974,4.83E+11,483000
ALL,1975,4.99E+11,499000
ALL,1976,5.17E+11,517000
ALL,1977,5.35E+11,535000
ALL,1978,5.53E+11,553000
ALL,1979,5.73E+11,573000
ALL,1980,5.92E+11,592000
ALL,1981,6.10E+11,610000
ALL,1982,6.29E+11,629000
ALL,1983,6.47E+11,647000
ALL,1984,6.67E+11,667000
ALL,1985,6.86E+11,686000
ALL,1986,7.07E+11,707000
ALL,1987,7.27E+11,727000
ALL,1988,7.49E+11,749000
ALL,1989,7.71E+11,771000
ALL,1990,7.93E+11,793000
ALL,1991,8.15E+11,815000
ALL,1992,8.37E+11,837000
ALL,1993,8.60E+11,860000
ALL,1994,8.82E+11,882000
ALL,1995,9.04E+11,904000
ALL,1996,9.28E+11,928000
ALL,1997,9.52E+11,952000
ALL,1998,9.75E+11,975000
ALL,1999,9.99E+11,999000
ALL,2000,1.02E+12,1020000
ALL,2001,1.05E+12,1050000
ALL,2002,1.07E+12,1070000
ALL,2003,1.10E+12,1100000
ALL,2004,1.13E+12,1130000
ALL,2005,1.16E+12,1160000
ALL,2006,1.18E+12,1180000
ALL,2007,1.22E+12,1220000
ALL,2008,1.25E+12,1250000
ALL,2009,1.28E+12,1280000
ALL,2010,1.31E+12,1310000
ALL,2011,1.34E+12,1340000
ALL,2012,1.38E+12,1380000
ALL,2013,1.41E+12,1410000
ALL,2014,1.45E+12,1450000
ALL,2015,1.48E+12,1480000
ALL,2016,1.51E+12,1510000
ALL,2017,1.55E+12,1550000
ALL,2018,1.58E+12,1580000
ALL,2019,1.62E+12,1620000
ALL,2020,1.65E+12,1650000
