Year,Drought,Extreme_Temperature,Flood,Landslide,Storm,Wildfire
1980,24,3,39,3,34,1
1981,18,1,38,7,46,2
1982,6,2,47,12,51,2
1983,26,2,48,16,55,10
1984,6,1,46,6,51,7
1985,3,7,56,4,49,11
1986,4,2,48,9,53,5
1987,15,5,65,14,55,7
1988,17,5,74,15,60,0
1989,7,5,44,15,67,2
1990,19,13,59,5,132,4
1991,12,8,75,9,66,8
1992,11,7,57,8,76,8
1993,9,3,84,25,105,2
1994,11,9,88,11,80,13
1995,6,13,93,16,76,7
1996,7,5,91,24,74,4
1997,17,13,95,13,79,15
1998,20,12,94,22,86,18
1999,26,8,122,18,103,21
2000,25,30,157,27,101,30
2001,22,23,155,24,105,14
2002,24,15,171,20,122,22
2003,14,25,157,21,85,14
2004,11,16,127,15,121,8
2005,20,40,191,13,130,13
2006,9,14,226,20,76,9
2007,11,25,217,10,100,18
2008,16,16,165,12,112,5
2009,18,20,151,29,87,9
2010,21,28,184,32,94,7
2011,16,15,156,17,81,8
2012,18,52,136,13,90,6
2013,9,13,148,11,105,10
2014,20,17,136,15,98,4
2015,27,12,161,20,121,13
2016,14,12,159,13,86,10
2017,12,10,127,25,126,15
2018,17,27,127,12,94,10
2019,15,21,195,25,91,14
2020,12,5,201,19,127,9
2021,16,3,222,12,119,19
2022,22,12,176,17,105,15
